title,subtitle,release_year,genre,duration,maturity_rating,IMDb_rating,rotten_tomatoes_rating,meta_critic_rating,indie_wire_rating,vudu_rating,letterboxd_rating,fandor_rating,film_affinity_rating,trakt_rating,apple_rating,class_movie_rating,ringos_rating,french_films_rating,original_film_rating,allmovie_rating,bluray_rating,movie_insider_rating,reelviews_rating,p_google_likes,box_office,release_date,directors,awards,film_series,producers,budget
I Was a Teenage Zombie,NA,NA,NA,NA,NA,4.5,20,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: John Elias Michalakis,NA,NA,Producer: John Elias Michalakis,NA
I've Heard the Mermaids Singing,R 1987 ‧ Indie film/Drama ‧ 1h 22m,1987,Indie film/Drama,1h 22m,R,6.7,100,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,March 1988 (USA),Director: Patricia Rozema,"Genie Award for Best Performance by an Actress in a Leading Role,",NA,NA,NA
In the Mood,PG-13 1987 ‧ Comedy/Historical drama ‧ 1h 38m,1987,Comedy/Historical drama,1h 38m,PG-13,6.3,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,Director: Phil Alden Robinson,NA,NA,"Gary Adelson, Karen Mack",NA
Innerspace,PG 1987 ‧ Comedy/Sci-fi ‧ 2 hours,1987,Comedy/Sci-fi,2 hours,PG,6.8,82,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,42 million USD (Worldwide rentals),"July 1, 1987 (USA)",Director: Joe Dante,NA,NA,NA,NA
Ironweed,R 1987 ‧ Drama/Adaptation ‧ 2h 23m,1987,Drama/Adaptation,2h 23m,R,6.7,58,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,"December 18, 1987 (USA)",Director: Héctor Babenco,NA,NA,NA,NA
Ishtar,PG-13 1987 ‧ Comedy/Buddy ‧ 1h 47m,1987,Comedy/Buddy,1h 47m,PG-13,4.4,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,14.4 million USD,"May 15, 1987 (USA)",Director: Elaine May,NA,NA,NA,55 million USD
Jaws: The Revenge,PG-13 1987 ‧ Horror/Thriller ‧ 1h 32m,1987,Horror/Thriller,1h 32m,PG-13,3,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,51.9 million USD,"July 17, 1987 (USA)",Director: Joseph Sargent,NA,NA,NA,20 million USD
The Jetsons Meet the Flintstones,NA,NA,NA,NA,NA,6.6,56,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,"Don Lusk, Ray Patterson",NA,NA,"Bob Hathcock, Bernard Wolf",NA
Jocks,R 1987 ‧ Comedy/Teen ‧ 1h 30m,1987,Comedy/Teen,1h 30m,R,3.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,Director: Steve Carver,NA,NA,NA,NA
King Lear,PG 1987 ‧ Drama/Sci-fi ‧ 1h 30m,1987,Drama/Sci-fi,1h 30m,PG,5.6,55,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61,821 USD","January 22, 1988 (New York)",Director: Jean-Luc Godard,NA,NA,NA,NA
Kung Fu: The Next Generation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Tony Wharmby,NA,Kung Fu,"Danny Bilson, Paul De Meo",NA
La Bamba,PG-13 1987 ‧ Musical/Drama ‧ 1h 49m,1987,Musical/Drama,1h 49m,PG-13,6.9,91,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"July 24, 1987 (USA)",Director: Luis Valdez,NA,NA,NA,NA
Lady Beware,R 1987 ‧ Thriller/Psychological thriller ‧ 1h 48m,1987,Thriller/Psychological thriller,1h 48m,R,5.9,52,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169,600 USD","August 14, 1987 (USA)",Director: Karen Arthur,NA,NA,NA,NA
The Last Emperor,PG-13 1987 ‧ Drama/History ‧ 3h 39m,1987,Drama/History,3h 39m,PG-13,7.7,89,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"December 18, 1987 (USA)",Director: Bernardo Bertolucci,"Academy Award for Best Picture,",NA,NA,NA
Legend of the White Horse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jerzy Domaradzki, Janusz Morgenstern",NA,NA,NA,NA
Leonard Part 6,PG 1987 ‧ Comedy/Parody ‧ 1h 25m,1987,Comedy/Parody,1h 25m,PG,2.2,9,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4.6 million USD,NA,Director: Paul Weiland,NA,NA,NA,24 million USD
Less Than Zero,R 1987 ‧ Drama/Teen ‧ 1h 38m,1987,Drama/Teen,1h 38m,R,6.5,50,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"November 6, 1987 (USA)",Director: Marek Kanievska,NA,NA,NA,NA
Lethal Weapon,R 1987 ‧ Action/Thriller ‧ 1h 57m,1987,Action/Thriller,1h 57m,R,7.6,81,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,120.2 million USD,"March 6, 1987 (USA)",Director: Richard Donner,NA,Lethal Weapon,NA,NA
Light of Day,PG-13 1987 ‧ Drama/Musical ‧ 1h 47m,1987,Drama/Musical,1h 47m,PG-13,5.7,53,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,10.5 million USD,"February 6, 1987 (USA)",Director: Paul Schrader,NA,NA,NA,NA
Like Father Like Son,PG-13 1987 ‧ Comedy/Teen ‧ 1h 39m,1987,Comedy/Teen,1h 39m,PG-13,5.2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,34.4 million USD,"October 2, 1987 (USA)",Director: Rod Daniel,Saturn Award for Best Performance by a Younger Actor/Actress,NA,NA,NA
Lionheart,PG 1987 ‧ Adventure/Drama ‧ 1h 44m,1987,Adventure/Drama,1h 44m,PG,5.2,25,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,Director: Franklin J. Schaffner,NA,NA,"Talia Shire, Stanley O'Toole",NA
Living on Tokyo Time,R 1987 ‧ Rom-com/Indie film ‧ 1h 25m,1987,Rom-com/Indie film,1h 25m,R,6.5,69,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Steven Okazaki,NA,NA,"Lynn O'Donnell, Dennis Hayashi",NA
The Living Daylights,PG 1987 ‧ Action/Thriller ‧ 2h 11m,1987,Action/Thriller,2h 11m,PG,6.7,73,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"January 1, 1987 (USA)",Director: John Glen,NA,NA,NA,NA
Long Gone,NA,NA,NA,NA,NA,7.8,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,Director: Martin Davidson,NA,NA,Producer: Joan Barnett,NA
The Lost Boys,R 1987 ‧ Horror/Comedy ‧ 1h 38m,1987,Horror/Comedy,1h 38m,R,6.3,76,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Joel Schumacher,NA,The Lost Boys,NA,NA
Love Among Thieves,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,90,NA,NA,Director: Roger Young,NA,NA,NA,NA
Love at Stake,R 1987 ‧ Comedy/Parody ‧ 1h 27m,1987,Comedy/Parody,1h 27m,R,5.2,35,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"61,789 USD","August 1, 1987 (USA)",Director: John Moffitt,NA,NA,"John Daly, Michael Gruskoff",NA
Made in Heaven,PG 1987 ‧ Romance/Rom-com ‧ 1h 42m,1987,Romance/Rom-com,1h 42m,PG,6.5,50,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Alan Rudolph,NA,NA,NA,NA
Maid to Order,PG 1987 ‧ Comedy/Fantasy ‧ 1h 33m,1987,Comedy/Fantasy,1h 33m,PG,5.6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,Director: Amy Holden Jones,NA,NA,NA,NA
Making Mr. Right,PG-13 1987 ‧ Comedy/Sci-fi ‧ 1h 40m,1987,Comedy/Sci-fi,1h 40m,PG-13,5.5,50,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,1.585 million USD,"April 3, 1987 (USA)",Director: Susan Seidelman,NA,NA,NA,NA
Malone,R 1987 ‧ Action/Drama ‧ 1h 32m,1987,Action/Drama,1h 32m,R,5.8,33,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,3.061 million USD,"May 1, 1987 (USA)",Director: Harley Cokeliss,NA,NA,NA,NA
Man on Fire,R 1987 ‧ Action/Thriller ‧ 1h 32m,1987,Action/Thriller,1h 32m,R,5.9,73,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,"October 9, 1987 (New York)",Director: Élie Chouraqui,NA,NA,NA,NA
Mannequin,PG 1987 ‧ Romance/Fantasy ‧ 1h 30m,1987,Romance/Fantasy,1h 30m,PG,6,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"February 13, 1987 (USA)",Director: Michael Gottlieb,NA,Mannequin,NA,NA
Masters of the Universe,PG 1987 ‧ Fantasy/Action ‧ 1h 46m,1987,Fantasy/Action,1h 46m,PG,5.4,17,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,17.3 million USD,"August 7, 1987 (USA)",Director: Gary Goddard,NA,NA,NA,22 million USD
Matewan,PG-13 1987 ‧ Drama/Drama ‧ 2h 22m,1987,Drama/Drama,2h 22m,PG-13,7.9,94,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,"August 28, 1987 (New York)",Director: John Sayles,NA,NA,NA,NA
Meatballs III: Summer Job,R 1986 ‧ Comedy/Sex comedy ‧ 1h 36m,1986,Comedy/Sex comedy,1h 36m,R,3.6,36,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2.1 million USD,NA,Director: George Mendeluk,NA,Meatballs,NA,NA
Miami Connection,R 1987 ‧ Martial Arts/Crime ‧ 2 hours,1987,Martial Arts/Crime,2 hours,R,5.8,68,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"November 2, 2012 (USA)","Y. K. Kim, Richard W. Park",NA,NA,NA,NA
Million Dollar Mystery,PG 1987 ‧ Thriller/Comedy ‧ 1h 35m,1987,Thriller/Comedy,1h 35m,PG,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"989,033 USD",NA,Director: Richard Fleischer,NA,NA,NA,NA
The Monster Squad,PG-13 1987 ‧ Horror/Comedy ‧ 1h 23m,1987,Horror/Comedy,1h 23m,PG-13,7.1,62,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,3.8 million USD (US),"August 14, 1987 (USA)",Director: Fred Dekker,NA,NA,NA,12 million USD
Moonstruck,PG 1987 ‧ Romance/Rom-com ‧ 1h 42m,1987,Romance/Rom-com,1h 42m,PG,7.1,94,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"December 18, 1987 (USA)",Director: Norman Jewison,"Academy Award for Best Actress in a Leading Role,",NA,NA,NA
Morgan Stewart's Coming Home,PG-13 1987 ‧ Comedy/Teen ‧ 1h 36m,1987,Comedy/Teen,1h 36m,PG-13,5.7,54,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2.136 million USD,NA,"Terry Winsor, Paul Aaron",NA,NA,NA,NA
Mr. Nice Guy,PG-13 1987 ‧ Comedy ‧ 1h 32m,1987,Comedy,1h 32m,PG-13,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,Director: Henry Wolfond,NA,NA,"Henry Wolfond, Constantino Magnatta",NA
Munchies,PG 1987 ‧ Horror/Comedy horror ‧ 1h 23m,1987,Horror/Comedy horror,1h 23m,PG,4.1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,Director: Tina Hirsch,NA,Munchies,Producer: Roger Corman,NA
My Best Friend's Birthday,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,Director: Quentin Tarantino,NA,NA,NA,NA
My Little Girl,R 1987 ‧ Drama ‧ 1h 58m,1987,Drama,1h 58m,R,4.6,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,80,"25,000 USD",NA,Director: Connie Kaiserman,NA,NA,Producer: Ismail Merchant,NA
Nadine,PG 1987 ‧ Comedy/Rom-com ‧ 1h 35m,1987,Comedy/Rom-com,1h 35m,PG,5.6,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,Director: Robert Benton,NA,NA,Producer: Arlene Donovan,NA
Near Dark,R 1987 ‧ Horror/Western ‧ 1h 39m,1987,Horror/Western,1h 39m,R,7,88,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,Director: Kathryn Bigelow,NA,NA,NA,5 million USD
A Nightmare on Elm Street 3: Dream Warriors,R 1987 ‧ Horror/Slasher ‧ 1h 36m,1987,Horror/Slasher,1h 36m,R,6.6,72,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,44.8 million USD (US),"February 27, 1987 (USA)",Director: Chuck Russell,NA,NA,NA,4 million USD
No Man's Land,R 1987 ‧ Crime/Crime ‧ 1h 47m,1987,Crime/Crime,1h 47m,R,6.1,50,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,Director: Peter Werner,NA,NA,NA,NA
No Way Out,R 1987 ‧ Thriller/Action ‧ 1h 54m,1987,Thriller/Action,1h 54m,R,7.1,91,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,"August 14, 1987 (USA)",Director: Roger Donaldson,NA,NA,"Robert Garland, Laura Ziskin",NA
North Shore,PG 1987 ‧ Sport/Drama ‧ 1h 36m,1987,Sport/Drama,1h 36m,PG,6.5,83,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,"August 14, 1987 (USA)",Director: W. W. Phelps,NA,NA,"Tim McCanlies, Bill Finnegan",NA
Nowhere to Hide,R 1987 ‧ Action/Thriller ‧ 1h 30m,1987,Action/Thriller,1h 30m,R,5.9,38,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Mario Philip Azzopardi,NA,NA,"Julie Corman, Andras Hamori, Stéphane Reichel, John Kemeny",NA
Number One with a Bullet,R 1987 ‧ Action/Thriller ‧ 1h 43m,1987,Action/Thriller,1h 43m,R,4.8,21,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,Director: Jack Smight,NA,NA,"Yoram Globus, Menahem Golan","410,952 USD"
Nuts,R 1987 ‧ Drama/Trial drama ‧ 1h 56m,1987,Drama/Trial drama,1h 56m,R,6.6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,"April 15, 1988 (Sweden)",Director: Martin Ritt,NA,NA,NA,NA
O.C. and Stiggs,R 1987 ‧ Comedy/Teen ‧ 1h 50m,1987,Comedy/Teen,1h 50m,R,5.4,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,92,"29,815 USD","July 10, 1987 (USA)",Director: Robert Altman,NA,NA,NA,7 million USD
On the Black Hill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August 16, 1991 (New York)",Director: Andrew Grieve,NA,NA,NA,NA
Orphans,R 1987 ‧ Drama ‧ 1h 55m,1987,Drama,1h 55m,R,6.7,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"252,430 USD",NA,Director: Alan J. Pakula,NA,NA,NA,6 million USD
Outrageous Fortune,R 1987 ‧ Comedy/Mystery ‧ 1h 40m,1987,Comedy/Mystery,1h 40m,R,6.2,50,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,52.9 million USD,NA,Director: Arthur Hiller,NA,NA,NA,25 million USD
Over the Top,PG 1987 ‧ Action/Sport ‧ 1h 33m,1987,Action/Sport,1h 33m,PG,5.8,30,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,16 million USD,"February 13, 1987 (USA)",Director: Menahem Golan,NA,NA,NA,2.5 million USD
Overboard,PG 1987 ‧ Comedy/Rom-com ‧ 1h 53m,1987,Comedy/Rom-com,1h 53m,PG,6.9,44,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,26.7 million USD,"December 16, 1987 (USA)",Director: Garry Marshall,NA,NA,NA,NA
The Pick-Up Artist,PG-13 1987 ‧ Romance/Rom-com ‧ 1h 21m,1987,Romance/Rom-com,1h 21m,PG-13,5.4,59,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,13.29 million USD,NA,Director: James Toback,NA,NA,"Warren Beatty, David Leigh MacLeod",NA
Pinocchio and the Emperor of the Night,G 1987 ‧ Fantasy/Family ‧ 1h 27m,1987,Fantasy/Family,1h 27m,G,6.7,56,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,3.262 million USD,NA,Director: Hal Sutherland,NA,NA,NA,NA
"Planes, Trains & Automobiles",R 1987 ‧ Comedy/Road ‧ 1h 33m,1987,Comedy/Road,1h 33m,R,7.6,91,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,49.5 million USD,"November 25, 1987 (USA)",Director: John Hughes,NA,NA,NA,NA
Police Academy 4: Citizens on Patrol,PG 1987 ‧ Comedy/Slapstick ‧ 1h 28m,1987,Comedy/Slapstick,1h 28m,PG,5,NA,26,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,76.8 million USD,"April 3, 1987 (USA)",Director: Jim Drake,NA,NA,NA,NA
Poor Little Rich Girl: The Barbara Hutton Story,NA,NA,NA,NA,NA,7,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,Director: Charles Jarrott,"Golden Globe Award for Best Miniseries or Television Film,",NA,NA,NA
A Prayer for the Dying,R 1987 ‧ Thriller/Political thriller ‧ 1h 48m,1987,Thriller/Political thriller,1h 48m,R,6.3,55,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,Director: Mike Hodges,NA,NA,NA,NA
Predator,R 1987 ‧ Action/Sci-fi ‧ 1h 47m,1987,Action/Sci-fi,1h 47m,R,7.8,81,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,98.3 million USD,"June 12, 1987 (USA)",Director: John McTiernan,NA,Predator,NA,NA
Prince of Darkness,R 1987 ‧ Horror/Supernatural ‧ 1h 42m,1987,Horror/Supernatural,1h 42m,R,6.7,58,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,"October 23, 1987 (USA)",Director: John Carpenter,NA,Apocalypse Trilogy,NA,NA
The Princess Bride,PG 1987 ‧ Adventure/Romance ‧ 1h 38m,1987,Adventure/Romance,1h 38m,PG,8,97,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,"October 9, 1987 (USA)",Director: Rob Reiner,NA,NA,NA,NA
The Principal,R 1987 ‧ Action/Comedy-drama ‧ 1h 49m,1987,Action/Comedy-drama,1h 49m,R,6.3,50,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,19.7 million USD (USA),NA,Director: Christopher Cain,NA,NA,NA,NA
Prison,R 1987 ‧ Horror/Drama ‧ 1h 42m,1987,Horror/Drama,1h 42m,R,5.8,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"354,704 USD (United States)",NA,Director: Renny Harlin,NA,NA,NA,NA
Project X,PG 1987 ‧ Thriller/Drama ‧ 1h 48m,1987,Thriller/Drama,1h 48m,PG,6.1,75,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,21 million USD,"April 17, 1987 (USA)",Director: Jonathan Kaplan,NA,NA,NA,NA
Promised Land,R 1987 ‧ Drama/Romance ‧ 1h 50m,1987,Drama/Romance,1h 50m,R,5.7,73,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"316,199 USD (US)","January 22, 1988 (USA)",Director: Michael Hoffman,NA,NA,NA,NA
Radio Days,PG 1987 ‧ Comedy/Comedy-drama ‧ 1h 28m,1987,Comedy/Comedy-drama,1h 28m,PG,7.5,90,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"January 30, 1987 (USA)",Director: Woody Allen,"BAFTA Award for Best Costume Design, BAFTA Award for Best Production Design",NA,NA,NA
Raising Arizona,PG-13 1987 ‧ Comedy/Crime ‧ 1h 34m,1987,Comedy/Crime,1h 34m,PG-13,7.3,91,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"March 13, 1987 (USA)","Ethan Coen, Joel Coen",NA,NA,NA,NA
Rampage,R 1987 ‧ Drama/Thriller ‧ 1h 37m,1987,Drama/Thriller,1h 37m,R,6.2,44,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"796,368 USD",NA,Director: William Friedkin,NA,NA,NA,NA
Real Men,PG-13 1987 ‧ Comedy/Sci-fi ‧ 1h 25m,1987,Comedy/Sci-fi,1h 25m,PG-13,6.2,60,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"873,903 USD",NA,Director: Dennis Feldman,NA,NA,NA,NA
Red's Dream,NA,NA,NA,NA,NA,6.3,50,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,Director: John Lasseter,NA,NA,NA,NA
Redneck Zombies,R 1987 ‧ Horror/Comedy horror ‧ 1h 38m,1987,Horror/Comedy horror,1h 38m,R,4.3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,Director: Pericles Lewnes,NA,NA,NA,"10,000 USD"
Rent-a-Cop,R 1987 ‧ Action/Comedy ‧ 1h 36m,1987,Action/Comedy,1h 36m,R,4.6,15,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,Director: Jerry London,NA,NA,NA,NA
Return to Horror High,R 1987 ‧ Horror/Slasher ‧ 1h 35m,1987,Horror/Slasher,1h 35m,R,4.3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1.2 million USD,NA,Director: Bill Froehlich,NA,NA,NA,NA
A Return to Salem's Lot,R 1987 ‧ Horror ‧ 1h 41m,1987,Horror,1h 41m,R,4.4,24,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,May 1987 (USA),Director: Larry Cohen,NA,Salem's Lot,NA,NA
Revenge of the Nerds II: Nerds in Paradise,PG-13 1987 ‧ Comedy/Sex comedy ‧ 1h 38m,1987,Comedy/Sex comedy,1h 38m,PG-13,5.2,7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,30.1 million USD,NA,Director: Joe Roth,NA,NA,NA,10 million USD
Right to Die,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Paul Wendkos,NA,NA,NA,NA
RoboCop,R 1987 ‧ Sci-fi/Action ‧ 1h 43m,1987,Sci-fi/Action,1h 43m,R,7.6,90,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,53.4 million USD,NA,Director: Paul Verhoeven,NA,RoboCop,NA,NA
The Rosary Murders,R 1987 ‧ Thriller/Mystery ‧ 1h 45m,1987,Thriller/Mystery,1h 45m,R,5.9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,Director: Fred Walton,NA,NA,NA,NA
Roxanne,PG 1987 ‧ Romance/Rom-com ‧ 1h 47m,1987,Romance/Rom-com,1h 47m,PG,6.6,88,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40.05 million USD (domestic),"June 19, 1987 (USA)",Director: Fred Schepisi,NA,NA,NA,NA
RuPaul Is: Starbooty!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,Director: Jon Witherspoon,NA,NA,Producer: Jon Witherspoon,"1,000 USD"
The Running Man,R 1987 ‧ Action/Sci-fi ‧ 1h 41m,1987,Action/Sci-fi,1h 41m,R,6.7,64,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"November 13, 1987 (USA)",Director: Paul Michael Glaser,NA,NA,NA,NA
Russkies,PG 1987 ‧ Drama/Family Drama ‧ 1h 39m,1987,Drama/Family Drama,1h 39m,PG,5.7,14,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,2.189 million USD,NA,Director: Rick Rosenthal,NA,NA,"Mark Levinson, Scott Rosenfelt",NA
